ScreenName,FollowersCount,FriendsCount,Lineage,Status,Class,NetworkSize,Indegree,Outdegree
85,AshfaaqBest,665,631,rifsaan,Directed,0,1296,0.5131172839506173,0.4868827160493827
90,AinsworthKeith,16024,16904,LucyAnne,Directed,0,32928,0.4866375121477162,0.5133624878522838
95,DurbanWarren,3805,4338,JaywanIncBeats,Directed,0,8143,0.46727250399115805,0.532727496008842
100,enlouquecid,3318,3219,binary_izone,Directed,0,6537,0.5075722808627811,0.4924277191372189
105,AwakeinMN,11459,11857,elfaddis,Directed,0,23316,0.4914650883513467,0.5085349116486533
110,TheTinySmidgen,1928,2184,NYC_Real_Plow,Directed,0,4112,0.4688715953307393,0.5311284046692607
115,nihilosignum,1465,1523,TheTinySmidgen,Directed,0,2988,0.4902945113788487,0.5097054886211513
120,BettyLovoure,3707,2740,JeanetteJoy,Directed,0,6447,0.5749961222273926,0.4250038777726074
125,ECHOtheCALL,179057,45110,LastOldCowpoke,Directed,0,224167,0.7987660984890729,0.20123390151092713
130,NewMediaBoys,1042,602,DoriCreates,Directed,0,1644,0.6338199513381995,0.3661800486618005
135,RockLikeRFK,511,1526,CaiSaints,Directed,0,2037,0.2508591065292096,0.7491408934707904
140,uspatriot2015,654,735,Jasmine39398216,Directed,0,1389,0.4708423326133909,0.5291576673866091
145,skinnylenny1965,16902,16789,ilpoliski,Directed,0,33691,0.5016770057285328,0.49832299427146715
150,Zach11W,11495,11398,jason_bass2,Directed,0,22893,0.5021185515222993,0.4978814484777006
155,mohbchuck,4369,4994,jessicachris261,Directed,0,9363,0.466623945316672,0.5333760546833279
160,jaynecantspell,44,138,RobertT62740843,Directed,0,182,0.24175824175824176,0.7582417582417582
165,lenammelo,323,154,danpanzine,Directed,0,477,0.6771488469601677,0.3228511530398323
170,vanpizzingrilli,134,106,BungaCast,Directed,0,240,0.5583333333333333,0.44166666666666665
175,zojasauce,142,107,rutendoiam,Directed,0,249,0.570281124497992,0.42971887550200805
180,Getlockers,9448,9999,estherbeauty122,Directed,0,19447,0.4858332904818224,0.5141667095181776
185,hllfrezenovr,3160,3245,the_valdem,Directed,0,6405,0.4933645589383294,0.5066354410616706
190,LaHuellaRomnica,5517,4244,concevales,Directed,0,9761,0.5652084827374244,0.43479151726257553
195,thechance2b,1748,1413,HassCho,Directed,0,3161,0.5529895602657386,0.4470104397342613
200,BigAL_LEWIS,22514,5317,StefanBarnes9,Directed,0,27831,0.8089540440515971,0.19104595594840287
